ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
Luxurious Leather Office Backpack Zenkada Laptop Backpack with Many Spacious and Convenient Compartments - Zbl02,210000,395000,4.929503916449086,383,https://vn-live-01.slatic.net/p/9dd29a378558428c57499cea548a992e.png,ZENKA - CHUYÊN TÚI DA,Backpacks,https://www.lazada.vn/products/pdp-i1466874301.html
[Loại dày có lớp mút xốp] Balo Laptop Nam Nữ Cao Cấp Thời Trang Hàn Quốc - Ba Lô Máy Tính Nhiều Ngăn Chống Sốc Chống Gù Cổng USB,97020,250000,4.756521739130434,115,https://vn-live-01.slatic.net/p/cb9094e88b91cdf90ebdeb2da9b0e2e2.jpg,TINTIN_STORE,Backpacks,https://www.lazada.vn/products/pdp-i2018974067.html
balo nam thể thao cặp học sinh phong cách ulzzang ba lô đi học thời trang giá rẻ voco,41580,49000,4.725609756097561,164,https://vn-live-01.slatic.net/p/000386545fffecd597e5f225dd66566c.jpg,XƯỞNG BALO GIÁ RẺ,Backpacks,https://www.lazada.vn/products/pdp-i2419924210.html
Korean Fashion Backpack Code 262,112000,250000,4.95,20,https://sg-live-01.slatic.net/p/9bde819dfadf7e39454a5a5747697fe2.jpg,SHINE TORE SHOP,Backpacks,https://www.lazada.vn/products/pdp-i1756407390.html
Korean Fashion Backpack for Men and Women Shine Tore St -284,106000,119000,4.75,4,https://vn-live-01.slatic.net/p/adf1cbd25ca91e4b9ba2a18cc4553937.jpg,SHINE TORE SHOP,Backpacks,https://www.lazada.vn/products/pdp-i2474730731.html
Will Mesh Vietnam Men Multi-Purpose Sports Backpack for Men and Women [New Super Product],56840,96000,5.0,3,https://sg-test-11.slatic.net/p/491a0dbfb9d6795147d83906e31a887a.jpg,valishalla,Backpacks,https://www.lazada.vn/products/pdp-i3275488764.html
ROCKBROS 2-10L Sport Swimming Bag PVC Waterproof Backpack Fashion Bags for Women Men Sport Outdoor Hiking Shoulder Folding Bags,100510,200000,4.933333333333334,218,https://my-live-01.slatic.net/p/620ef4c91969af175bf7962ee7382d85.jpg,ROCKBROS  offical store,Backpacks,https://www.lazada.vn/products/pdp-i1360180139.html
Ba lô kết hợp túi đeo chéo thời trang  : ba lô ST -294 và túi đeo 1988 SHINE TORE,96000,280000,4.8671875,128,https://vn-live-01.slatic.net/p/027325f168d656196bdcf12b197b01f3.jpg,SHINE TORE SHOP,Backpacks,https://www.lazada.vn/products/pdp-i2471930444.html
"Large Multi-Purpose Waterproof Drawstring Backpack for Basketball, Volleyball, and Soccer for Men and Women",111720,228000,5.0,2,https://sg-test-11.slatic.net/p/ac856bd8efd37cf0b1be16f499408e7f.png,hoco_ SUPERSTAR _store,Backpacks,https://www.lazada.vn/products/pdp-i3269360190.html
LUFAWN Women Backpack High Quality Lightweight Handbag Large Capacity Backpack School Bag (6712),219144,312000,4.9,50,https://my-live-02.slatic.net/p/51ed619bed2a033b77dc7116647567a6.jpg,LUFAWN MALL,Backpacks,https://www.lazada.vn/products/pdp-i1984674155.html
YONEX Badminton bag backpack for men and women neutral large capacity sports bag for pickleball racket tennis school bag,239000,500000,5.0,10,https://vn-live-01.slatic.net/p/16d1281e1ed4b1df77dd018c467223fa.png,GIATHANH STORE,Backpacks,https://www.lazada.vn/products/pdp-i3137957536.html
CamelCrown 40L Bag Outdoor Professional Backpack Men's and Women's Sports Shoulder Bag Waterproof Tourism Hiking Climbing Traveling Schoolbag,638370,1500000,4.962962962962963,343,https://my-live-02.slatic.net/p/4b086b572d52e2c97db06cd9528e1f9c.jpg,CAMEL CROWN Outdoor Store,Backpacks,https://www.lazada.vn/products/pdp-i1720609779.html
Chống Thấm Nước Ba Lô Công Sở Nam USB Trường Ba Lô 15.6 Inch Dung Tích Lớn Bagpacks Cho Nam Lưng Túi,149100,277000,4.862478777589134,689,https://filebroker-cdn.lazada.vn/kf/Se88e017c5c7b45cba0cc03ce39d5a137K.jpg,Global Merch Park,Backpacks,https://www.lazada.vn/products/pdp-i2444244843.html
Adidas Training Backpack Unisex Blue Il8449,470000,500000,4.814814814814815,27,https://sg-test-11.slatic.net/p/218612f06b9f57a183d2955346e2f0ad.jpg,adidas,Backpacks,https://www.lazada.vn/products/pdp-i3069230703.html
SeasTina OLANG Backpack men's large capacity business computer backpack travel backpack high school junior high school students schoolbag,131000,258000,4.724137931034483,32,https://sg-test-11.slatic.net/p/58220b9bc14de94e359abfcf93d6e355.png,SeasTina MALL,Backpacks,https://www.lazada.vn/products/pdp-i3115109517.html
VINTLOOK Fashionable Nylon Backpack with Zipper Pockets for Daily Use,112000,143000,4.771428571428571,136,https://sg-test-11.slatic.net/p/3be70d23cbbe42ef06f2fabe8b69d96d.png,VINTLOOK MALL,Backpacks,https://www.lazada.vn/products/pdp-i3016720116.html
Fashion Casual Backpack Large Capacity Computer Briefcase Travel Backpack Expand Multi-Functional Luggage Backpack,308000,616000,,,https://sg-test-11.slatic.net/p/db16e40a7350f33ebefd59075d2cce39.png,Deere Jack Store,Backpacks,https://www.lazada.vn/products/pdp-i3015327319.html
Balo du lịch cỡ đại 50L 64cm cỡ đại Bumnos thể thao GSR [FreeShip],151900,184000,4.890625,64,https://sg-test-11.slatic.net/p/70854b1e8f74a6b9df9e436222eef044.jpg,valishalla,Backpacks,https://www.lazada.vn/products/pdp-i2831470507.html
Warrior | Travel Lightweight Mini Backpack,355000,,4.666666666666667,22,https://filebroker-cdn.lazada.vn/kf/Sd3520e5603644d9181f56e28ab152546x.jpg,Warrior Backpack,Backpacks,https://www.lazada.vn/products/pdp-i3192589268.html
Balo đi học phong cách hàn quốc cấp 1 2 3 chống thấm nước phong cách,47000,69000,4.831460674157303,89,https://vn-live-01.slatic.net/p/65473d2105fbb48931422247438fbb66.jpg,XƯỞNG BALO HỒNG LÂM,Backpacks,https://www.lazada.vn/products/pdp-i2017852258.html
cặp học sinh phong cách ulzzang balo nam đi học thời trang ba lô du lịch thể thao giá rẻ,52371,79000,4.875,24,https://vn-live-01.slatic.net/p/cb851a80fbaab68b86ec94578485da8a.jpg,XƯỞNG BALO GIÁ RẺ,Backpacks,https://www.lazada.vn/products/pdp-i2859066960.html
Balo thời trang đi học đi chơi meet you,35000,49000,4.565217391304348,69,https://vn-live-01.slatic.net/p/b13f0a548dc93529179d5c31d96910da.jpg,Balo Túi Xách Giá Tận Gốc (HCM),Backpacks,https://www.lazada.vn/products/pdp-i2474101514.html
"Genuine High-End School Backpacks for Men and Women Natoli Bst Basic Backpack B2, High-Quality Shockproof Multi-Compartment Fashion School Bag for Going Out",224000,356000,4.963923337091319,887,https://vn-live-01.slatic.net/p/6f0fce6f96264cbb5070ef78c2e3b730.jpg,NATOLI,Backpacks,https://www.lazada.vn/products/pdp-i1807531414.html
Ba lô nữ hàn quốc cặp học sinh cấp 2 3 phối mica,47900,69000,4.318007662835249,261,https://vn-live-01.slatic.net/p/f944942fcf45d09cb05f096b0a6465fc.jpg,Mun House - Phụ Kiện Xinh,Backpacks,https://www.lazada.vn/products/pdp-i2008877487.html
Balo du lịch 50L 64cm size đại Bumnos phong cách thể thao GSR88 [Deal Sốc],164000,274000,5.0,7,https://vn-live-01.slatic.net/p/f0b9aef3de56f21f0bfdb1d1aee2663c.jpg,Shalla shop,Backpacks,https://www.lazada.vn/products/pdp-i2831278892.html
"Balo Ulzzang Hàn Quốc Nam Nữ Chống Nước, Balo Nữ Thời Trang Đi Học Đẹp Giá Rẻ Dễ Thương BL02",45000,69000,4.684210526315789,95,https://vn-live-01.slatic.net/p/3cedd5dcb9e287fb7ab377e833ad6ca9.jpg,MELON TÚI,Backpacks,https://www.lazada.vn/products/pdp-i2038663762.html
Balo nữ balo mini cá tính đáng yêu siêu xinh đi chơi bao đẹp dễ thương thiết kế thời trang SMN549,25000,50000,5.0,23,https://vn-live-01.slatic.net/p/5390234fe74c0c901868760d8c3db4f5.jpg,Túi Xách My Nhi Giá Rẻ 6688,Backpacks,https://www.lazada.vn/products/pdp-i2731189195.html
