ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
Adidas Tennis & Padel Tennis Men's Club 3-Stripes Tennis Polo Shirt White Hs3268,765000,850000,4.912806539509536,367,https://sg-test-11.slatic.net/p/c5bbbf0908291a101ca80de9bfaa39c5.jpg,adidas,polo_shirts,https://www.lazada.vn/products/pdp-i3069165778.html
[Only October 17-18 - Buy 3 40% Off] Adidas Tennis Men's Tennis Club Polo Shirt Black Hs3278,765000,850000,4.956989247311828,93,https://sg-test-11.slatic.net/p/048aa97532e27c46532a681af25531b5.jpg,adidas,polo_shirts,https://www.lazada.vn/products/pdp-i3069216506.html
High-Quality Men's Polo Shirt with Luxurious Sports Style - Latest Polo T-Shirt in 2025 P9,47000,100000,4.620689655172414,29,https://vn-live-01.slatic.net/p/05c21cb1d870ee58e6d92fdaad7356e6.jpg,Polomenor,polo_shirts,https://www.lazada.vn/products/pdp-i3225511180.html
Áo POLO  thiết kế vải cotton cá sấu cao cấp ngắn tay cực sang chất nhất 2025 SANG TRỌNG (P11),95000,299000,4.7799717912552895,709,https://vn-live-01.slatic.net/p/cbb4717295bd93b6406664cb40dbd072.jpg,Polomenor,polo_shirts,https://www.lazada.vn/products/pdp-i2678716770.html
"Poloman 15 Men's Polo Shirt in Many Colors with a Turn-Down Collar, Basic Cvc, Elegant Stretchy Crocodile Fabric",96600,218000,4.89751552795031,644,https://vn-live-01.slatic.net/p/bfb68614c24057c298d192aa6f6a31b1.jpg,Poloman Official1,polo_shirts,https://www.lazada.vn/products/pdp-i2669020123.html
Áo thun nam nữ POLO trơn vải cá sấu cotton cao cấp ngắn tay cực sang trọng _Shopthoitrangthanhvan,38532,99000,4.7835616438356166,365,https://filebroker-cdn.lazada.vn/kf/S26d1303cc3684401a0acf0762645efb9n.jpg,Shopthoitrangthanhvan,polo_shirts,https://www.lazada.vn/products/pdp-i2162739819.html
Áo Thun Polo Nam Cổ Bẻ Sang Trọng Lịch Lãm Chất Cao Cấp Hoạ Tiết Cực Kỳ Hiện Đại 2025 - B03,122000,250000,4.712933753943218,317,https://vn-live-01.slatic.net/p/1e1945c90425f10a0b205e6bec456247.jpg,Polomenor,polo_shirts,https://www.lazada.vn/products/pdp-i3084430872.html
Áo POLO nam nữ trơn vải cá sấu cotton cao cấp ngắn tay cực sang trọng,50440,99000,4.831797235023042,1302,https://filebroker-cdn.lazada.vn/kf/S0ac04d2a77234ad29737107b3ed0b2d5i.jpg,Xuongmaythanhvan,polo_shirts,https://www.lazada.vn/products/pdp-i2162767835.html
Áo polo nam cổ bẻ BASIC thiết kế hoạ tiết Monogram hiếm có khó tìm đẳng cấp 2025 - B01,117000,250000,4.817843866171004,269,https://vn-live-01.slatic.net/p/d1fae2515a2357ce1ced76b74e6a7404.jpg,Polomenor,polo_shirts,https://www.lazada.vn/products/pdp-i3057887621.html
Áo thun polo nam phối cao cấp thiết kế trẻ trung năng động lịch lãm.chat liệu vải mềm mịn thoáng mát,81576,135000,4.920245398773006,163,https://filebroker-cdn.lazada.vn/kf/S31d0696e0c404d7eb0c7e319125b65b6B.jpg,Quần áo Linh San 06,polo_shirts,https://www.lazada.vn/products/pdp-i2474476355.html
Áo polo Nam nữ (in đồng phục giá rẻ) áo cá sấu thái bo sọc 3 viền cao cấp,75000,99000,5.0,7,https://vn-live-01.slatic.net/p/7f44f2efe339e490b3b1522b57553cc8.jpg,RANGOO. STORE,polo_shirts,https://www.lazada.vn/products/pdp-i2371787813.html
Hanlu Men's knitted Polo shirt fashionable short sleeves business Polo shirt slim fit knitted T-shirt,169000,364000,5.0,36,https://sg-test-11.slatic.net/p/202a54a8fae6a4cdccb7fdbe1812d24b.jpg,Hanlu Style,polo_shirts,https://www.lazada.vn/products/pdp-i2647776444.html
Men's polo shirts simple solid color lapel T-shirt casual business polo shirt,71000,98000,5.0,31,https://sg-test-11.slatic.net/p/dc65c2b7f71fde274549842b4d8f16a2.png,STAR FRUIT MALL,polo_shirts,https://www.lazada.vn/products/pdp-i3157837149.html
Hanlu Men's knitted Polo shirt striped knit lapel T-shirt casual handsome short sleeves business Polo short sleeve,166000,356000,5.0,62,https://sg-test-11.slatic.net/p/cebe85ae9de0f9bb558a615166439997.png,Hanlu Style,polo_shirts,https://www.lazada.vn/products/pdp-i2652450908.html
"Áo polo nam Đẳng Cấp Thời trang Siêu Mới Lạ - Vải FeelMax Phom chuẩn, Sang trọng mới nhất 2025 (K05)",114000,200000,4.830917874396135,207,https://vn-live-01.slatic.net/p/d192536730017c0f8cfcda7c1310225b.jpg,Polomenor,polo_shirts,https://www.lazada.vn/products/pdp-i2910872195.html
Polo Nam Nhập Khẩu USA hoạt tiết độc lạ đẳng cấp phái mạnh 2025 - B10,123000,250000,4.82089552238806,67,https://vn-live-01.slatic.net/p/617906779e25aca29a83317b293f41ee.jpg,Polomenor,polo_shirts,https://www.lazada.vn/products/pdp-i3072689729.html
"Áo Thun Polo Nam Ngắn Tay PIE Dòng Cao Cấp Vải Cá Sấu Sang Trọng, Lịch Lãm Quý Ông - TTN14",104000,250000,4.886363636363637,44,https://vn-live-01.slatic.net/p/1373a477cd011d1a2e1dc450f4d238a9.jpg,Polomenor,polo_shirts,https://www.lazada.vn/products/pdp-i3124831065.html
Hanlu Korean style fashion Polo shirt simple printed T-shirt men's lapel casual Polo shirt casual business short sleeves,114000,225000,4.906716417910448,268,https://sg-test-11.slatic.net/p/8ff9bbc5fe22c473e9bfa9282ae4f273.jpg,Hanlu Style,polo_shirts,https://www.lazada.vn/products/pdp-i2609019507.html
Áo thun POLOMAN 23 nam nhiều màu cổ bẻ BASIC CVC vải cá sấu co dãn thanh lịch,129000,218000,4.878048780487805,451,https://vn-live-01.slatic.net/p/9c126b1dc00abaa2b9a9f6ec3a98d490.jpg,Poloman Official1,polo_shirts,https://www.lazada.vn/products/pdp-i2834174973.html
"Áo thun POLO nam BASIC vải cá sấu CVC cao cấp, thoáng mát sang trọng, lịch lãm",120652,350000,4.722222222222222,36,https://vn-live-01.slatic.net/p/4bb7171a6d9465b230dde17036f762e2.png,POLOMANBASIC,polo_shirts,https://www.lazada.vn/products/pdp-i2598441938.html
JIFANPAUL | Korean Style Academy POLO Shirt for Children Short Sleeve,77000,120000,,,https://filebroker-cdn.lazada.vn/kf/S7f9f97584ae0467582820702d9dcf4c09.jpg,JIFANPAUL Global,polo_shirts,https://www.lazada.vn/products/pdp-i3197312857.html
"Áo Thun Polo Nam POLOMAN Hình Ngựa Majestic Chất Cá Sấu CVC Thoáng Mát, Sang Trọng, Phong Cách",164052,300000,5.0,9,https://vn-live-01.slatic.net/p/d349ebc921d7c65e49a724bdb1d5e64b.jpg,POLOMANBASIC,polo_shirts,https://www.lazada.vn/products/pdp-i2778974709.html
Hanlu Men's Polo Shirt Fashion Casual Knitted Lapel T-shirt Ice Silk Knitted Polo Short Sleeve,175000,349000,5.0,10,https://sg-test-11.slatic.net/p/3760013d37986aae769517a2e2d326e5.png,Hanlu Style,polo_shirts,https://www.lazada.vn/products/pdp-i3089322320.html
"Áo polo nam thêu logo, chất vải cotton co gian 4 chiều thoải mái, dễ phối ML CLOTHINGS",39000,129000,4.833333333333333,36,https://vn-live-01.slatic.net/p/a0183d9a7d6f36f3177106a0fe9bedf0.jpg,MY LINH CLOTHING,polo_shirts,https://www.lazada.vn/products/pdp-i2795260220.html
"áo polo áo thun nam nữ đẹp ngắn tay có cổ thời trang công sở lịch lãm cao cấp chất vải coton cá sấu đen, trắng có viền",76230,197000,4.882352941176471,17,https://vn-live-01.slatic.net/p/bbef70d289dc8cb450f5af818770d69e.jpg,XUZI fashion,polo_shirts,https://www.lazada.vn/products/pdp-i2065505662.html
"Genuine Egan 5 Men's and Women's Sports Polo Shirt - Antibacterial Fabric, 4-Way Stretch, Eye-Catching Design",165620,230000,5.0,34,https://vn-live-01.slatic.net/p/d89f6a15b94edf12cba3c8bc1a0f937b.jpg,Thể Thao Chính Hãng DH Sport,polo_shirts,https://www.lazada.vn/products/pdp-i2507642088.html
"BST Áo Polo Poloman 17 Chính Hãng Cao Cấp Form nam nữ, Vải Cá Sấu Thái Không Xù Lông, Mềm Mịn, Thoáng Mát, Trẻ Trung, Thanh Lịch",99000,218000,4.96875,32,https://vn-live-01.slatic.net/p/ee9e05636e204a5018c8a6e48682d351.jpg,MANTINO BASIC,polo_shirts,https://www.lazada.vn/products/pdp-i2932516966.html
"Áo thun polo nam vải cotton co giãn 4 chiều thoải mái, thêu logo phối viền cổ - ML Clothings",39000,139000,4.7317073170731705,41,https://vn-live-01.slatic.net/p/71d70c7b38904c717153237807870ca7.jpg,MY LINH CLOTHING,polo_shirts,https://www.lazada.vn/products/pdp-i2692107297.html
Polo Shirt with National Logo 80 Years of September 2Nd,110000,150000,4.925925925925926,27,https://filebroker-cdn.lazada.vn/kf/S79cc517a70954e0880bc3ccd3c0810c1u.jpg,BO Fhasion,polo_shirts,https://www.lazada.vn/products/pdp-i3139398735.html
ALL STAR PARTNER | New Polo Shirt for Sports and Casual Wear,611000,,4.75,8,https://filebroker-cdn.lazada.vn/kf/Sad8df9fe097d4670bc92c0a6ec7565fdR.jpg,ALL STAR PARTNER,polo_shirts,https://www.lazada.vn/products/pdp-i3205820233.html
"Áo Polo nam chất cotton mềm mịn thoáng mát, thời trang công sở, thể thao - [Size M, L, XL, XXL] - PL04",95000,150000,5.0,3,https://vn-live-01.slatic.net/p/11c3aca8364a3482ddbc6539a3029785.jpg,Thời trang nam 2K,polo_shirts,https://www.lazada.vn/products/pdp-i3164643788.html
"Polo shirt for 18-52kg boys love plush design, personality for kids.",61750,130000,4.5,24,https://vn-live-01.slatic.net/p/cde8ef56f2a65cebb0ae3193e31161d7.jpg,Huyền Young,polo_shirts,https://www.lazada.vn/products/pdp-i3069545103.html
